,Bedroom,Bathroom,Den,Address,Lat,Long,Price,Postal Code,Neighborhood,Borough
79,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
80,1,1.0,0,M5V,43.6439201,-79.3994776,2700.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
81,1,1.0,1,M5V,43.6397355,-79.3904175,2600.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
82,1,2.0,0,M5V,43.6453398,-79.4021851,2650.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
83,3,2.0,0,M5V,43.650340299999996,-79.3876465,3900.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
84,1,1.0,0,M5V,43.6434855,-79.39230450000001,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
85,1,1.0,0,M5V,43.6469441,-79.3923973,2050.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
86,1,1.0,0,M5V,43.6447693,-79.3970587,1600.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
87,2,2.0,0,M5V,43.6460058,-79.38990849999999,3100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
88,1,1.0,1,M5V,43.64140820000001,-79.3912531,2950.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
89,1,1.0,0,M5V,43.64514929999999,-79.39081329999999,1300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
90,2,1.0,0,M5V,43.645641,-79.39295340000001,1900.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
91,1,2.0,0,M5V,43.640402,-79.39714670000001,3600.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
92,2,2.0,0,M5V,43.6487831,-79.3880423,4050.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
93,2,2.0,0,M5V,43.6487831,-79.3880423,4100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
94,1,1.0,1,M5V,43.6469126,-79.3902415,2300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
