,Bedroom,Bathroom,Den,Lat,Long,Price,Postal Code,Borough,Downtown Proximity,Borough Color
158,1,1.0,0,43.64787000000001,-79.391138,2200.0,M5V,Downtown Toronto,0.07189333224228309,1
159,2,2.0,0,43.6387842,-79.3988635,3200.0,M5V,Downtown Toronto,0.17628839934208285,1
160,1,1.0,1,43.6409179,-79.3939821,2200.0,M5V,Downtown Toronto,0.13412750321682917,1
161,1,1.0,0,43.6397355,-79.3904175,2200.0,M5V,Downtown Toronto,0.12738905281851867,1
162,2,2.0,0,43.6460058,-79.38990849999998,3050.0,M5V,Downtown Toronto,0.07687644331397987,1
163,2,1.5,0,43.6476349,-79.39248359999998,1200.0,M5V,Downtown Toronto,0.08235074370243554,1
164,1,1.0,1,43.6469441,-79.3923973,2250.0,M5V,Downtown Toronto,0.0855901881622868,1
165,1,1.0,1,43.6469441,-79.3923973,2250.0,M5V,Downtown Toronto,0.0855901881622868,1
166,1,1.0,0,43.63859229999999,-79.40099479999998,1900.0,M5V,Downtown Toronto,0.19088671388953135,1
167,1,1.0,0,43.6385213,-79.39946379999998,2450.0,M5V,Downtown Toronto,0.1816278228043028,1
168,1,1.0,1,43.6465174,-79.3872066,3600.0,M5V,Downtown Toronto,0.06148889096008496,1
169,1,1.0,0,43.6490235,-79.3884001,2200.0,M5V,Downtown Toronto,0.04775109580051075,1
170,1,1.0,0,43.6364097,-79.40200340000001,1800.0,M5V,Downtown Toronto,0.21054471386095341,1
171,1,1.0,0,43.6418699,-79.38984570000002,1350.0,M5V,Downtown Toronto,0.10820201567366348,1
172,1,1.0,0,43.6462197,-79.3981256,2175.0,M5V,Downtown Toronto,0.13078670180178428,1
173,2,2.0,0,43.6490235,-79.3884001,4500.0,M5V,Downtown Toronto,0.04775109580051075,1
174,1,1.0,0,43.6494054,-79.3927116,2000.0,M5V,Downtown Toronto,0.07558216146390198,1
175,1,1.0,0,43.653226,-79.3831843,2175.0,M5V,Downtown Toronto,0.003084480358996262,1
176,1,1.0,0,43.6409222,-79.39398299999998,1900.0,M5V,Downtown Toronto,0.13410193135599108,1
177,1,1.5,1,43.6375098,-79.39777740000002,2400.0,M5V,Downtown Toronto,0.17830819192348013,1
178,1,1.0,1,43.6476273,-79.39040809999999,2600.0,M5V,Downtown Toronto,0.0687141759505223,1
179,1,1.0,0,43.64187379999999,-79.4103246,2100.0,M5V,Downtown Toronto,0.2437972050453478,1
180,1,1.0,0,43.6489727,-79.3872946,2200.0,M5V,Downtown Toronto,0.04242862449108016,1
181,3,3.0,0,43.6425685,-79.39345959999999,4900.0,M5V,Downtown Toronto,0.11984479782646078,1
182,1,1.0,0,43.6468075,-79.40279790000002,2150.0,M5V,Downtown Toronto,0.1659107568887736,1
183,2,1.0,0,43.6289467,-79.3944199,3200.0,M5V,Downtown Toronto,0.22848657683904164,1
184,1,1.0,1,43.6402671,-79.3910061,2500.0,M5V,Downtown Toronto,0.12531466103792363,1
185,1,1.0,0,43.6455947,-79.38606300000002,2000.0,M5V,Downtown Toronto,0.06637274892007385,1
186,1,1.0,0,43.6464336,-79.39780640000002,2500.0,M5V,Downtown Toronto,0.1274201943428007,1
187,1,1.0,1,43.6408637,-79.39573929999997,2350.0,M5V,Downtown Toronto,0.14422745075091292,1
188,1,1.0,0,43.6384219,-79.39759559999997,2000.0,M5V,Downtown Toronto,0.17114009202761693,1
189,2,2.0,0,43.6476244,-79.3968608,2850.0,M5V,Downtown Toronto,0.11518400146443727,1
190,1,1.0,0,43.645641,-79.39295340000002,2400.0,M5V,Downtown Toronto,0.09690979492416021,1
191,1,1.5,1,43.6381439,-79.39751,2400.0,M5V,Downtown Toronto,0.17251677097368726,1
192,1,1.0,0,43.6465801,-79.3998612,1199.0,M5V,Downtown Toronto,0.14292881327974366,1
193,2,2.0,0,43.6375235,-79.40087700000002,3100.0,M5V,Downtown Toronto,0.19661661714437687,1
194,2,2.0,0,43.6476244,-79.3968608,3000.0,M5V,Downtown Toronto,0.11518400146443727,1
195,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
196,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
197,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
198,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
199,2,2.0,0,43.6548421,-79.37920150000002,3099.0,M5B,Downtown Toronto,0.03715379928037414,1
200,1,1.0,0,43.660846,-79.3787556,2250.0,M5B,Downtown Toronto,0.06968947332027019,1
201,2,2.0,0,43.6606054,-79.37863540000002,2800.0,M5B,Downtown Toronto,0.0687251904720223,1
202,1,1.0,0,43.6606054,-79.37863540000002,2000.0,M5B,Downtown Toronto,0.0687251904720223,1
203,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
204,2,2.0,0,43.6548421,-79.37920150000002,3099.0,M5B,Downtown Toronto,0.03715379928037414,1
205,1,1.0,0,43.660846,-79.3787556,2250.0,M5B,Downtown Toronto,0.06968947332027019,1
206,2,2.0,0,43.6606054,-79.37863540000002,2800.0,M5B,Downtown Toronto,0.0687251904720223,1
207,1,1.0,0,43.6606054,-79.37863540000002,2000.0,M5B,Downtown Toronto,0.0687251904720223,1
208,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
209,1,1.0,0,43.660269,-79.38280019999998,2450.0,M5B,Downtown Toronto,0.049088237139024896,1
210,2,2.0,0,43.660269,-79.38280019999998,3450.0,M5B,Downtown Toronto,0.049088237139024896,1
211,2,2.0,0,43.65673320000001,-79.37515400000002,2900.0,M5B,Downtown Toronto,0.07574632130015733,1
212,1,1.0,0,43.6606054,-79.37863540000002,1850.0,M5B,Downtown Toronto,0.0687251904720223,1
213,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
214,1,1.0,0,43.6606054,-79.37863540000002,1950.0,M5B,Downtown Toronto,0.0687251904720223,1
215,2,2.0,0,43.6548421,-79.37920150000002,3099.0,M5B,Downtown Toronto,0.03715379928037414,1
216,1,1.0,0,43.660846,-79.3787556,2250.0,M5B,Downtown Toronto,0.06968947332027019,1
217,2,2.0,0,43.6606054,-79.37863540000002,2800.0,M5B,Downtown Toronto,0.0687251904720223,1
218,1,1.0,0,43.6606054,-79.37863540000002,2000.0,M5B,Downtown Toronto,0.0687251904720223,1
219,2,2.0,0,43.65673320000001,-79.37515400000002,2900.0,M5B,Downtown Toronto,0.07574632130015733,1
