,Bedroom,Bathroom,Den,Address,Lat,Long,Price
147,1,1.0,1,M6H,43.6739944,-79.44168499999999,1650.0
148,2,1.0,0,M6J,43.6415686,-79.42460279999999,2889.0
149,2,2.0,0,M5B,43.6606054,-79.37863540000001,2800.0
150,1,1.0,0,M5T,43.6520426,-79.4022416,1300.0
151,2,1.0,0,L1H,43.892047399999996,-78.86086800000001,1250.0
152,1,1.0,0,M6J,43.65229779999999,-79.4069977,1300.0
153,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
154,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0
155,1,1.0,0,M5B,43.6606054,-79.37863540000001,2000.0
156,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
157,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
158,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
159,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
160,1,1.0,0,M4Y,43.670878,-79.3766958,1950.0
161,1,1.0,1,M5S,43.661927,-79.3865112,2250.0
162,2,1.5,0,L7S,43.3316744,-79.81535440000002,2000.0
163,2,2.0,0,M5H,43.6505597,-79.38207220000001,2800.0
164,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
165,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
166,1,1.0,0,L5G,43.558352500000005,-79.5788687,1727.0
167,2,1.0,0,M6K,43.6371527,-79.4270923,2230.0
168,1,1.0,0,M4X,43.664055700000006,-79.3737903,1785.0
169,1,1.0,0,M4X,43.664055700000006,-79.3737903,1535.0
170,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
171,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
172,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
173,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0
174,1,1.0,0,M6K,43.6371527,-79.4270923,1475.0
175,1,1.0,0,M4Y,43.664580799999996,-79.38229559999999,1815.0
176,1,1.0,0,M6K,43.6371527,-79.4270923,1755.0
177,1,1.0,0,M5A,43.6450775,-79.3643417,2450.0
178,1,1.0,0,M5A,43.65221029999999,-79.3707988,2200.0
179,2,1.0,0,L1N,43.8792747,-78.9346733,1350.0
